Score;Genres;Type;Episodes;Studios;Source
6.64;Mecha, Military, Sci-Fi;OVA;1;J.C.Staff;Unknown
6.64;Comedy, Magic, Seinen;OVA;6;Xebec;Manga
6.64;Hentai;OVA;2;Arms;Visual novel
6.64;Kids, Magic;TV;130;Studio Pierrot;Novel
6.64;Action, Mecha, Mystery, Police;TV;26;Xebec;Manga
6.64;Action, Sci-Fi, Comedy, Police;TV;50;Tatsunoko Production;Manga
6.64;Fantasy, School;TV;26;TMS Entertainment;Novel
6.64;Hentai;OVA;2;Milky Animation Label;Visual novel
6.64;Hentai;OVA;2;Unknown;Visual novel
6.64;Action, Drama, Mecha, Military, Sci-Fi, Space;Movie;1;Sunrise;Unknown
6.64;Action, Mecha;TV;51;Unknown;Unknown
6.64;Action, Sci-Fi, Space, Mecha;TV;47;Toei Animation;Original
6.64;Drama, Yaoi;OVA;2;PrimeTime;Manga
6.64;Sci-Fi, Shounen;TV;39;Heewon Entertainment, NHK Enterprises;Original
6.64;Supernatural, Drama, Magic, Romance, Fantasy;TV;12;Zexcs;Game
6.64;Comedy, Magic;Special;1;Nomad;Light novel
6.64;Harem, Comedy, Romance, Ecchi, School;TV;12;Xebec;Light novel
6.64;Adventure, Comedy, Kids;Movie;1;TMS Entertainment;Unknown
6.64;Adventure, Demons, Magic, Fantasy, Shounen;Movie;1;Toei Animation;Game
6.64;Military, Sci-Fi, Space, Mecha;Movie;1;Unknown;Original
6.64;Kids, Slice of Life;TV;170;Unknown;Unknown
6.64;Ecchi;Special;6;Arms;Light novel
6.64;Comedy, Ecchi, Supernatural;OVA;1;Madhouse;Manga
6.64;Comedy, Ecchi, School;Special;9;Xebec;Light novel
6.64;Slice of Life, Comedy, Supernatural, Seinen;TV;12;AIC PLUS+;Manga
6.64;Slice of Life, Martial Arts, Comedy;OVA;1;Unknown;Unknown
6.64;Action, Ecchi, Harem, Martial Arts, School, Super Power;OVA;2;Xebec;Manga
6.64;Drama, Military, Sci-Fi, Space;TV;26;Eiken;Unknown
6.64;Action, Comedy, Drama, Romance, Martial Arts, Samurai;Movie;1;Toei Animation;Unknown
6.64;Mystery, Comedy, Horror, Demons, Supernatural;TV;25;Milky Cartoon;Original
6.64;Comedy, Supernatural, Romance, Ecchi;TV;12;feel.;Light novel
6.64;Romance, Shoujo;OVA;1;Kinema Citrus;Manga
6.64;Action, Mecha, Military, Sci-Fi, Drama;OVA;2;Sunrise;Unknown
6.64;Action, School, Shoujo Ai;TV;12;Diomed�a;Manga
6.64;Harem, Romance, Shoujo;OVA;2;Brain's Base;Novel
6.64;Comedy, Supernatural, Romance, School;Special;1;SILVER LINK.;Light novel
6.64;Game;TV;50;Xebec, OLM;Card game
6.64;Game, School, Slice of Life;Special;1;Studio Gokumi;Unknown
6.64;Seinen, Slice of Life;TV;12;Office DCI;Manga
6.64;Slice of Life, Comedy, Sports, Shounen;TV;12;Actas;Manga
6.64;Hentai;OVA;3;Queen Bee;Manga
6.64;Action, Game, Sci-Fi, Fantasy, Shounen;TV;120;Gallop;Card game
6.64;Fantasy;ONA;10;Haoliners Animation League;Novel
6.64;Comedy, Seinen;Movie;1;Shin-Ei Animation;Manga
6.64;Comedy, Fantasy, Magic;TV;12;Pierrot Plus;Web manga
6.64;Action, Drama, Mecha, Military, Sci-Fi, Space;Movie;1;Sunrise;Novel
6.64;Comedy, Romance, Seinen;TV;12;Lesprit;Manga
6.64;Slice of Life, Comedy, School, Josei;TV;12;EMT Squared;Manga
6.64;Music;Music;2;Unknown;Original
6.64;Music, Dementia;Music;1;Unknown;Music
6.64;Action, Mystery, Horror;ONA;12;Zero-G;Manga
6.63;Action, Adventure, Romance, Sci-Fi, Shounen, Super Power;TV;26;Studio Pierrot;Manga
6.63;Adventure, Historical, Drama, Fantasy, Shounen;Movie;1;Madhouse;Novel
6.63;Comedy, Romance, Ecchi, School, Seinen;TV;16;J.C.Staff;Manga
6.63;Sci-Fi, Adventure, Mecha, Shounen;TV;52;Gonzo;Other
6.63;Comedy, Drama, Harem, Magic, Romance, School;TV;12;OLM;Visual novel
6.63;Ecchi, Comedy, Romance, Supernatural;Special;1;Studio Deen;Unknown
6.63;Action, Adventure, Supernatural, Drama, Vampire, Fantasy;OVA;4;Madhouse;Game
6.63;Comedy, Magic;TV;48;Studio Pierrot;Original
6.63;Parody, Adventure, Fantasy, Magic, Comedy, Romance, School, Shoujo;TV;51;Nippon Animation;Manga
6.63;Adventure, Comedy, Ecchi, Magic, Sci-Fi;OVA;8;Toei Animation;Manga
6.63;Shounen, Sports;TV;22;Xebec;Manga
6.63;Action, Mystery, Romance, Fantasy, Shoujo;TV;52;Mushi Production;Manga
6.63;Sci-Fi, Comedy, Ecchi;OVA;3;Daume;Manga
6.63;Action, Military, Space, Mecha;OVA;15;Sunrise;Original
6.63;Comedy, Police;Special;1;Tatsunoko Production;Manga
6.63;Action, Drama, Sci-Fi, Space;Movie;1;Toei Animation;Manga
6.63;Hentai;OVA;4;Unknown;Visual novel
6.63;Action, Mystery;TV;39;Unknown;Unknown
6.63;Action, Adventure, Historical, Martial Arts, Samurai;TV;26;Tele-Cartoon Japan;Manga
6.63;Action, Comedy, Fantasy, Magic, Shoujo;Movie;1;Toei Animation;Original
6.63;Action, Martial Arts, Super Power;Special;1;Sunrise;Unknown
6.63;Comedy, Fantasy, Kids, Magic;TV;170;Unknown;Unknown
6.63;Action, Fantasy, Military, Supernatural, Demons, Historical, Shoujo;Special;1;Unknown;Visual novel
6.63;Adventure, Comedy, Horror, School, Shounen, Supernatural;Movie;1;Toei Animation;Unknown
6.63;Comedy, Ecchi, School, Seinen, Slice of Life;Movie;1;Unknown;Manga
6.63;Action, Drama, Seinen;OVA;2;Toei Animation;Manga
6.63;Adventure, Comedy, Drama, Fantasy, Kids;Movie;1;Production I.G, Xebec, OLM;Game
6.63;Action, Sci-Fi, Super Power, School;TV;12;Sunrise;Original
6.63;Hentai;OVA;2;Unknown;Visual novel
6.63;Adventure, Comedy, Drama, Fantasy, Kids;Movie;1;OLM;Game
6.63;Adventure, Drama, Mecha, Romance, Sci-Fi;Special;1;Bones;Original
6.63;Shounen;OVA;1;Studio Pierrot;Manga
6.63;Military, School;Special;2;Actas;Original
6.63;Parody, Comedy;Special;9;Studio Moriken;Manga
6.63;Action, Demons, Fantasy, Super Power;Movie;1;Gonzo;Game
6.63;Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School;TV;12;A-1 Pictures;Game
6.63;Music, Shoujo;Movie;1;Tatsunoko Production;Game
6.63;Drama, Kids;OVA;1;Toei Animation;Unknown
6.63;Comedy;Special;7;Kyoto Animation;Light novel
6.63;Action, Mystery, Comedy, Police;OVA;1;Kamikaze Douga;Manga
6.63;Adventure, Kids, Fantasy;Movie;1;OLM;Game
6.63;Comedy, Shounen, Sports;TV;12;Millepensee;Manga
6.63;Demons, Fantasy, Magic, Supernatural;TV;10;CygamesPictures;Card game
6.63;Comedy, Shounen, Slice of Life;TV;12;feel.;Manga
6.63;Magic, Music, Romance, School;OVA;1;Sunrise;Original
6.63;Music, Shoujo;TV;12;A-1 Pictures;Music
6.63;Slice of Life, Comedy, Romance, School, Shoujo;Special;1;Production Reed;Manga
6.63;Comedy, Parody, Fantasy;Special;2;Unknown;Visual novel
6.63;Music;Music;1;Xebec, Issen;Original
6.63;Hentai;OVA;1;Seven;Visual novel
6.63;Action, Ecchi, Sci-Fi, Seinen;TV;12;LIDENFILMS;Manga
6.63;Harem, Hentai, Supernatural, Fantasy;OVA;4;Unknown;Light novel
6.63;Comedy, Fantasy;ONA;1;Yaoyorozu;Game
6.63;Action, Sci-Fi;ONA;12;Bones;Original
6.63;Music, Magic, Fantasy;TV;12;Yokohama Animation Lab;Other
6.63;Music;Music;1;Unknown;Game
6.63;Comedy;Movie;4;Kyoto Animation;Original
6.63;Harem, Hentai;OVA;4;Unknown;Light novel
6.63;Drama, Music, Romance, Slice of Life;ONA;12;2:10 AM Animation;Original
6.63;Sports, School;TV;12;PRA;Original
6.58;Hentai, Fantasy;OVA;12;Majin;Visual novel
6.62;Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen;TV;12;Daume;Manga
6.62;Drama, Romance, Slice of Life;TV;12;Studio Deen;Visual novel
6.62;Comedy, Ecchi, Harem, Romance;TV;12;Daume;Manga
6.62;Comedy, Romance, Shounen;TV;12;Group TAC;Light novel
6.62;Comedy, Magic, Parody;OVA;5;Kyoto Animation, Tatsunoko Production;Original
6.62;Adventure, Comedy, Fantasy, Shoujo, Shounen Ai;TV;26;Magic Bus;Unknown
6.62;Fantasy, Magic, School;TV;13;AIC Spirits;Unknown
6.62;Hentai;Special;2;Unknown;Visual novel
6.62;Hentai, Sci-Fi;OVA;3;Unknown;Manga
6.62;Hentai;OVA;2;Unknown;Visual novel
6.62;Sci-Fi, Adventure, Space, Drama, Romance, Fantasy;Movie;1;Tezuka Productions, Toho;Manga
6.62;Fantasy, Sci-Fi;OVA;1;Studio Pierrot;Manga
6.62;Comedy, Josei, Romance, Slice of Life;TV;5;Yumeta Company;Manga
6.62;Action, Sci-Fi, Adventure, Comedy, Shounen;TV;52;Studio Egg;Manga
6.62;Fantasy, Comedy, Shoujo;Special;1;Unknown;Visual novel
6.62;Action, Adventure, Mystery, Comedy, Seinen;OVA;1;TMS Entertainment;Unknown
6.62;Harem, Comedy, Romance;Special;2;feel.;Visual novel
6.62;Adventure;TV;26;Unknown;Unknown
6.62;Action, Martial Arts, Comedy, Demons, Shounen;Special;1;Studio Pierrot;Manga
6.62;Comedy, Magic, School, Shoujo;TV;25;Satelight;Manga
6.62;Action, Drama, Shounen, Sports;Movie;1;Studio Pierrot;Manga
6.62;Comedy, Fantasy, Slice of Life;TV;12;SANZIGEN, LIDENFILMS;Web manga
6.62;Drama, Music;ONA;1;Unknown;Original
6.62;Music;Music;1;Asahi Production, Rising Force;Unknown
6.62;Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen;Special;1;Toei Animation;Manga
6.62;Action, Harem, Supernatural, Romance, Ecchi, Fantasy, Mecha, School;TV;12;Lerche;Light novel
6.62;Adventure, Kids;Movie;1;OLM, OLM Digital, Sprite Animation Studios;Novel
6.62;Comedy, Parody, School, Shounen Ai;TV;12;Team YokkyuFuman;Game
6.62;School;TV;12;Studio Deen;Novel
6.62;Action, Super Power, Supernatural, Martial Arts, Seinen;ONA;2;Unknown;Manga
6.62;Adventure, Comedy, Seinen;TV;12;Ez?la;Manga
6.62;Action, Adventure, Historical, Romance, Martial Arts, Fantasy;ONA;12;Unknown;Novel
6.62;Historical, Romance;ONA;12;Unknown;Manga
6.62;Comedy;Special;2;Unknown;Manga
6.61;Game, Mystery, Sci-Fi;OVA;4;Bee Train;Original
6.61;Drama, Romance, School, Slice of Life;Special;1;J.C.Staff, Studio Ghibli;Novel
6.61;Slice of Life, Comedy, Drama, Romance, Shounen;TV;12;J.C.Staff;Manga
6.61;Adventure, Fantasy, Sci-Fi, Shounen;TV;26;Studio Deen;Game
6.61;Adventure, Fantasy, Samurai, Shounen;OVA;2;Sunrise;Unknown
6.61;Drama, Music, Romance;Movie;1;Unknown;Original
6.61;Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen;OVA;6;Artmic;Novel
6.61;Drama, Romance;OVA;1;Studio Deen;Unknown
6.61;Hentai;OVA;2;Unknown;Visual novel
6.61;Fantasy, Harem, Hentai, Magic, Supernatural;OVA;2;Unknown;Visual novel
6.61;Adventure;TV;36;Group TAC;Unknown
6.61;Action, Military, Sci-Fi, Adventure, Space, Drama;Movie;1;Toei Animation;Original
6.61;Romance, Drama, Shounen;OVA;1;Studio Pierrot;Manga
6.61;Action, Mecha, Shounen;Movie;1;Unknown;Unknown
6.61;Adventure, Fantasy;TV;26;Unknown;Unknown
6.61;Hentai;OVA;2;Unknown;Visual novel
6.61;Comedy, Drama, Romance, Shounen, Slice of Life;Special;1;J.C.Staff;Manga
6.61;Mystery, Comedy, Horror, Demons, Supernatural;TV;25;Milky Cartoon;Original
6.61;Comedy, Sci-Fi, Seinen;Special;3;Ajia-Do;Unknown
6.61;Music;Movie;1;WAO World;Book
6.61;Adventure, Drama, Sci-Fi;Movie;1;Toei Animation;Unknown
6.61;Comedy, Shounen;Movie;1;Ajia-Do;Manga
6.61;Action, Comedy, Ecchi;Special;6;A.C.G.T.;Unknown
6.61;Hentai;OVA;4;Seven;Visual novel
6.61;Comedy;Special;5;Sunrise;Game
6.61;Comedy, School, Shounen, Sports;TV;12;MAPPA;Manga
6.61;Adventure, Mystery, Comedy;Movie;1;TMS Entertainment;Novel
6.61;Action, Adventure, Fantasy, Game, Romance;Special;1;A-1 Pictures;Light novel
6.61;Action, Drama, Mecha, Mystery, Psychological, Sci-Fi;TV;24;Satelight, C2C;Original
6.61;Comedy, Music, Slice of Life;OVA;1;Gathering;4-koma manga
6.61;Action, Ecchi, Martial Arts, School, Seinen, Super Power;OVA;2;Arms;Unknown
6.61;Action, Fantasy;Special;1;Shaft;Game
6.61;Mystery;TV;11;Lerche;Original
6.61;Hentai;OVA;1;PoRO;Visual novel
6.61;Comedy, Sports, School, Shounen;Special;1;Production I.G;Unknown
6.61;Hentai, Magic;OVA;1;Seven;Visual novel
6.61;Fantasy, Historical, Josei, Samurai;TV;12;DLE;Visual novel
6.61;Comedy;Special;1;A-1 Pictures;Light novel
6.61;Action, Sci-Fi, Adventure, Comedy, Kids, Fantasy;TV;52;Toei Animation;Original
6.61;Harem, Historical, Romance, Fantasy, Josei;TV;12;Zero-G;Visual novel
6.61;Slice of Life, Comedy;TV;12;EMT Squared;4-koma manga
6.61;Slice of Life, Drama, School;TV;12;Studio Pierrot;Original
6.61;Hentai, Demons;ONA;2;SELFISH;Visual novel
6.61;Comedy, Sports;TV;12;Millepensee;Manga
6.61;Music;Music;1;Unknown;Original
6.61;Adventure, Fantasy;TV;6;Emon, Blade;Web manga
6.61;Action, Game, Fantasy;ONA;63;Anima, ILCA;Game
6.61;Hentai;OVA;1;Unknown;Visual novel
6.61;Adventure, Magic, Fantasy;Special;1;Kamikaze Douga;Game
6.55;Hentai, School;OVA;12;Unknown;Visual novel
6.6;Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen;TV;12;Bee Train;Manga
6.6;Drama, Harem, Romance, School, Slice of Life;TV;13;OLM;Visual novel
6.6;Action, Adventure, Fantasy, Sci-Fi, Shounen;Movie;1;Toei Animation;Manga
6.6;Action, Ecchi, Martial Arts;TV;25;TMS Entertainment;Manga
6.6;Action, Sci-Fi, Adventure, Police, Mecha;OVA;1;Gainax;Manga
6.6;Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi;TV;26;Sunrise;Original
6.6;Comedy, Romance, School, Slice of Life;TV;12;Trinet Entertainment, Studio Hibari;Visual novel
6.6;Action, Comedy, Harem, Mecha, Sci-Fi;OVA;3;Zero-G Room;Unknown
6.6;Action, Sci-Fi, Adventure;TV;26;J.C.Staff;Novel
6.6;Action, Adventure, Fantasy, Mecha;TV;52;Sunrise;Manga
6.6;Action, Drama, Fantasy, Mecha, Sci-Fi;Movie;1;Sunrise;Manga
6.6;Mecha, Military, Sci-Fi;TV;26;Satelight;Original
6.6;Music, Romance, Shoujo, Sports;TV;19;Tatsunoko Production;Manga
6.6;Adventure, Comedy, Kids;OVA;1;TMS Entertainment;Unknown
6.6;Drama, Sci-Fi, Seinen, Space;OVA;2;Ajia-Do;Unknown
6.6;Adventure, Comedy;TV;26;Nippon Animation;Manga
6.6;Action, Sci-Fi, Parody, Mecha;TV;26;Production Reed;Original
6.6;Sci-Fi, Adventure, Drama;Movie;1;Nippon Animation;Novel
6.6;Action, Adventure, Mecha;TV;26;Bee Train, Cookie Jar Entertainment;Novel
6.6;Action, Military, Sci-Fi, Adventure;TV;31;Production I.G, Tatsunoko Production;Game
6.6;Action, Sci-Fi, Adventure;OVA;2;Sunrise;Light novel
6.6;Slice of Life, Comedy;TV;63;TMS Entertainment;Manga
6.6;Adventure, Comedy, Parody;TV;60;Tatsunoko Production;Unknown
6.6;Adventure, Kids, Sci-Fi;TV;127;Nippon Animation;Unknown
6.6;Hentai;OVA;2;Unknown;Original
6.6;Action, Mecha;TV;39;Unknown;Original
6.6;Adventure, Fantasy;Special;1;OLM;Game
6.6;Comedy, Ecchi;Special;6;Arms;Unknown
6.6;Drama, Sci-Fi, Space;Movie;1;Toei Animation;Manga
6.6;Hentai;OVA;2;Suzuki Mirano;Visual novel
6.6;Comedy, Supernatural, Romance, Ecchi, Vampire;TV;12;Zexcs;Light novel
6.6;Hentai;OVA;2;PoRO;Visual novel
6.6;Comedy, Seinen;Movie;1;Shin-Ei Animation;Manga
6.6;Comedy, Ecchi, Harem, Mystery, Romance, School;TV;12;Studio Gokumi;Light novel
6.6;Comedy, Supernatural;Special;1;A-1 Pictures;Light novel
6.6;Comedy, Sci-Fi, Seinen, Slice of Life;Movie;1;A-1 Pictures;Unknown
6.6;Ecchi, Comedy;Special;6;Arms;Light novel
6.6;Action, Historical, Samurai;Special;1;TYO Animations;Game
6.6;Fantasy, Shounen;Special;3;Unknown;Manga
6.6;Action;ONA;26;Trigger;Novel
6.6;Comedy, Parody;Special;13;Unknown;Manga
6.6;Sci-Fi, Harem, Comedy, Ecchi, Seinen;Special;1;Arms;Manga
6.6;Harem, Hentai;OVA;1;Unknown;Visual novel
6.6;Hentai;OVA;1;Unknown;Manga
6.6;Action, Adventure, Slice of Life, Super Power;TV;12;Wit Studio;Original
6.6;Comedy, Seinen;ONA;20;Shin-Ei Animation;Manga
6.6;Action, Historical, Martial Arts, Fantasy;ONA;3;Sparkly Key Animation Studio;Novel
6.6;Slice of Life, Comedy, Romance;TV;12;Creators in Pack;Web manga
6.6;Hentai;OVA;2;Studio 9 MAiami;Visual novel
6.6;Hentai;OVA;1;Unknown;Manga
6.6;Sci-Fi, Space, Comedy, Ecchi, Seinen;ONA;13;Shin-Ei Animation;Manga
6.6;Slice of Life, Magic, Fantasy;TV;59;Studio Deen;Original
6.6;Sci-Fi, Mystery, Psychological, Supernatural;Movie;1;SILVER LINK.;Visual novel
6.6;Action, Adventure, Fantasy;Movie;1;Nice Boat Animation;Original
6.6;Comedy;Special;2;SILVER LINK.;Light novel
6.6;Action, Adventure, Comedy, Historical, Martial Arts;ONA;26;Unknown;Manga
6.6;Action, Magic, Fantasy;TV;12;Yokohama Animation Lab;Game
6.6;Music, Slice of Life;TV;6;Studio A-CAT;Unknown
6.6;Action, Adventure, Magic, Fantasy, Shounen;ONA;20;Unknown;Web manga
6.6;Action;ONA;1;Satelight;Game
6.6;Comedy, Ecchi, Harem, Romance, School;TV;12;Seven, GEEK TOYS;Light novel
6.6;Action, Sci-Fi, Kids, Mecha;Movie;1;OLM;Other
6.6;Hentai, Demons, Supernatural, Fantasy;OVA;2;Unknown;Visual novel
6.6;Music;Music;1;Unknown;Original
6.6;Comedy;ONA;13;Project No.9;Manga
6.59;Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural;Movie;1;Madhouse;Manga
6.59;Comedy, Drama;TV;13;OLM;Visual novel
6.59;Comedy, Magic, Ecchi;OVA;4;Hal Film Maker, Nomad;Light novel
6.59;Action, Drama, Shounen;TV;13;ufotable;Unknown
6.59;Action, Adventure, Drama, Martial Arts, Romance, Shounen;Movie;1;Unknown;Game
6.59;Drama, Music;TV;13;Unknown;Other
6.59;Adventure, Drama, Fantasy, Shounen;OVA;3;Zero-G Room;Unknown
6.59;Comedy, Romance, Sci-Fi;TV;12;Studio Live;Manga
6.59;Action, Sci-Fi, Adventure, Comedy, Sports, Shounen;Movie;1;Nippon Animation;Manga
6.59;Drama, Romance, Shoujo, Slice of Life;Special;2;J.C.Staff;Unknown
6.59;Comedy, Sci-Fi, Shounen;OVA;8;Madhouse;Unknown
6.59;Comedy;Special;4;Unknown;Unknown
6.59;Action, Adventure, Military, Drama, Seinen;OVA;1;Filmlink International;Manga
6.59;Adventure, Comedy, Fantasy, Game;Movie;1;Gallop;Manga
6.59;Action, Mecha, Sci-Fi, Shounen;OVA;1;Tatsunoko Production;Unknown
6.59;Adventure, Historical, Romance;Movie;1;Gallop;Novel
6.59;Comedy, Drama, Romance, Yaoi;OVA;1;Phoenix Entertainment;Manga
6.59;Adventure, Drama, Fantasy, Shounen;OVA;1;Zero-G Room;Unknown
6.59;Comedy, Fantasy;Movie;1;Toei Animation;Manga
6.59;Magic, Romance, Comedy;Special;3;Hal Film Maker;Original
6.59;Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen;TV;12;Hal Film Maker;Manga
6.59;Fantasy, Kids, Romance;Movie;1;Studio Ghibli;Original
6.59;Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural;Special;1;Toei Animation;Original
6.59;Comedy, School;OVA;7;J.C.Staff;4-koma manga
6.59;Adventure;Movie;1;Shanghai Animation Film Studio;Novel
6.59;Ecchi, Music;OVA;1;Doga Kobo;Visual novel
6.59;Comedy;Special;9;Bee Train;Visual novel
6.59;Comedy, Demons, Ecchi, Fantasy, Romance, Seinen;TV;12;Diomed�a;Manga
6.59;Comedy, School, Slice of Life;OVA;1;Seven;4-koma manga
6.59;Comedy, Martial Arts;Movie;1;Ascension;Original
6.59;Sci-Fi, Music, Drama, Romance, Shoujo;Special;1;Production I.G;Unknown
6.59;Action, Comedy, Historical, Samurai, Sci-Fi, Super Power;TV;13;TMS Entertainment;Game
6.59;Harem, Hentai;OVA;2;PoRO;Visual novel
6.59;Adventure, Comedy, Magic, Shounen, Supernatural;OVA;1;Toei Animation;Unknown
6.59;Action, Sci-Fi;ONA;10;TNK, Kinema Citrus;Other
6.59;Comedy, Parody, School;Special;1;Shaft;Manga
6.59;Comedy, Ecchi;Special;6;Arms;Unknown
6.59;Action, Magic, Fantasy, Shoujo;TV;49;Toei Animation;Original
6.59;Comedy;TV;114;Shogakukan Music & Digital Entertainment;Unknown
6.59;Action, Demons, Historical;Movie;1;Sunrise;Original
6.59;Comedy;TV;12;feel., Assez Finaud Fabric;Web manga
6.59;Comedy;Special;1;A-1 Pictures;Unknown
6.59;Hentai;OVA;1;Seven;Visual novel
6.59;Harem, Hentai;OVA;2;Unknown;Visual novel
6.59;Music, School, Shoujo;Special;1;Sunrise;Unknown
6.59;Comedy, Fantasy, Slice of Life;TV;13;SANZIGEN;Web manga
6.59;Music;Music;1;Xebec, Issen;Original
6.59;Romance, School, Shoujo;TV;12;OLM;Manga
6.59;Sci-Fi, Space, Mecha;TV;12;SANZIGEN;Original
6.59;Action, Game, Shounen;TV;52;OLM;Card game
6.59;Slice of Life, Ecchi;Special;2;Pine Jam;Other
6.59;Action, Comedy, Ecchi, Samurai, Seinen;ONA;13;Unknown;Manga
6.59;Action, Adventure, Drama, Martial Arts, Romance;ONA;24;iDRAGONS Creative Studio;Game
6.59;Comedy, Kids, Slice of Life;TV;26;DandeLion Animation Studio;Other
6.59;Slice of Life, Comedy;ONA;13;Madhouse;Original
6.59;Comedy;Special;1;Shaft;Light novel
6.59;Hentai, Demons, Supernatural;OVA;4;Unknown;Game
6.59;Music;Music;1;Unknown;Original
6.5;Hentai;OVA;12;PoRO;Visual novel
6.59;Action, Supernatural, Magic, Fantasy;Special;3;CloverWorks;Game
6.59;Music, Drama;Music;1;MORIE Inc.;Original
6.59;Action, Sci-Fi, Mecha;ONA;1;Sunrise Beyond;Original
6.59;Comedy;ONA;4;Unknown;Original
6.58;Adventure, Ecchi, Fantasy, Magic, Mystery, Shoujo Ai;TV;13;Studio Deen;Visual novel
6.58;Comedy, Drama, Ecchi, School, Slice of Life;TV;12;Arms;Manga
6.58;Action, Mystery, Comedy, Horror, Police, Supernatural, Seinen;TV;13;AIC Spirits, Group TAC;Manga
6.58;Adventure, Sci-Fi;TV;24;Gonzo, Satelight;Original
6.58;Action, Harem, Magic, Romance, Ecchi, Mecha;TV;12;View Works;Visual novel
6.58;Comedy, Romance;TV;25;Radix;Visual novel
6.58;Adventure, Mecha, Sci-Fi, Shounen;OVA;4;Radix;Game
6.58;Adventure, Drama, Fantasy;TV;25;Studio Deen;Manga
6.58;Sports, Mecha, Sci-Fi, Shounen;TV;5;Production I.G;Original
6.58;Action, Adventure, Drama, Historical, Sci-Fi, Seinen;TV;13;Echo;Manga
6.58;Comedy;Movie;1;Madhouse;Unknown
6.58;Music, Shoujo;Music;1;Unknown;Manga
6.58;Adventure, Police, Romance, Music, Sci-Fi;Music;4;Studio 4�C;Original
6.58;Cars, Shounen, Sports;TV;51;Xebec;Manga
6.58;Adventure, Comedy, Historical, Kids;TV;78;Nippon Animation;Unknown
6.58;Hentai;OVA;2;Unknown;Manga
6.58;Action, Sci-Fi, Super Power;TV;26;A-1 Pictures;Original
6.58;Kids, Romance, School, Shoujo, Slice of Life, Supernatural;OVA;3;Arms, Studio Kikan;Manga
6.58;Slice of Life, Historical, Drama, School;TV;26;Nippon Animation;Novel
6.58;Action, Adventure, Comedy, Super Power, Kids;OVA;10;Unknown;Other
6.58;Comedy, Romance;ONA;46;Unknown;Unknown
6.58;Action, Sci-Fi, Drama, Mecha;TV;23;Tatsunoko Production, Studio World;Original
6.58;Action, Adventure, Ecchi, Fantasy;TV;12;Arms;Other
6.58;Sci-Fi, Space;Special;1;Unknown;Manga
6.58;Ecchi, Romance, Slice of Life;OVA;2;Xebec;Light novel
6.58;Hentai;OVA;2;Unknown;Visual novel
6.58;Comedy, Slice of Life;TV;151;Eiken;Manga
6.58;Adventure, Comedy, Fantasy, Slice of Life;TV;52;Mushi Production;Book
6.58;Action, Adventure, Ecchi, Fantasy;OVA;6;Arms;Other
6.58;Comedy, Ecchi;Special;6;Arms, TNK;Unknown
6.58;Comedy, Slice of Life;Special;2;Sunrise;Unknown
6.58;Slice of Life, Comedy, Josei;Special;4;Brain's Base;Manga
6.58;Hentai, Supernatural, Vampire;OVA;2;Y.O.U.C;Original
6.58;Comedy;OVA;4;Studio Pierrot;Manga
6.58;Hentai;OVA;4;Unknown;Visual novel
6.58;Ecchi, Romance, School, Drama;TV;13;Kazami Gakuen Koushiki Douga-bu;Visual novel
6.58;Game, Adventure, Fantasy;TV;29;Sunrise;Card game
6.58;Fantasy, Magic;TV;12;P.A. Works;Novel
6.58;Mystery, Horror, Supernatural;OVA;4;Asread;Visual novel
6.58;Comedy, Supernatural;TV;12;Gonzo;Light novel
6.58;Military, School;Special;4;Actas;Original
6.58;Music;Music;24;Unknown;Original
6.58;Sci-Fi, Drama;TV;26;feel.;Visual novel
6.58;Slice of Life, Comedy, Magic, Fantasy;Movie;1;W-Toon Studio;Manga
6.58;Romance, School;Special;1;feel.;Original
6.58;Adventure, Romance, Martial Arts, Fantasy;ONA;40;Beijing Rocen Digital;Original
6.58;Action, Comedy, Dementia, Mecha, Parody, Sci-Fi;Movie;1;Production I.G, Nut, Revoroot;Original
6.58;Game, Psychological;OVA;1;J.C.Staff;Card game
6.58;Comedy;ONA;6;SILVER LINK.;Light novel
6.58;Comedy, Demons, Kids, Supernatural;TV;49;OLM;Game
6.58;Hentai;ONA;2;SELFISH;Original
6.58;Slice of Life, Comedy, Josei;TV;24;Gathering;Manga
6.58;Action, Adventure, Super Power, Shounen;Movie;1;Unknown;Manga
6.58;Music, Kids;Music;1;Unknown;Original
6.58;Adventure, Fantasy;Special;2;MAPPA;Game
6.58;Comedy, Romance, Ecchi;ONA;15;Studio Animal;Web manga
6.4;Hentai;OVA;12;PoRO;Visual novel
6.57;Action, Historical, Supernatural, Drama, Romance, School, Shounen Ai;TV;13;Madhouse;Light novel
6.57;Comedy, Drama, Sci-Fi;OVA;3;Madhouse;Manga
6.57;Adventure, Samurai, Fantasy, Shounen;OVA;4;Sunrise;Unknown
